 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0331E+00 Qsca= 2.0331E+00 Qabs= 0.0000E+00 <cos>= 9.3873E-01
                 Qbk = 1.4257E+00
  theta       S11           POL           S33           S34
 169.37   9.40727E+03  -7.70561E-01   1.42102E+03   5.82506E+03
 170.08   1.28572E+04  -2.37826E-02   1.21739E+04  -4.12446E+03
 170.79   1.18376E+04  -6.80803E-01   8.64898E+03   6.12654E+02
 171.50   1.78312E+04   2.96053E-01   1.64349E+04   4.46958E+03
 172.20   9.97767E+03   5.97250E-01  -1.19920E+03  -7.91228E+03
 172.91   1.51563E+04  -6.74569E-01   8.10577E+03  -7.71232E+03
 173.62   5.71932E+03  -9.88986E-01   2.46233E+02  -8.09895E+02
 174.33   2.61005E+04  -9.47660E-01   8.20155E+03   1.47646E+03
 175.04   4.17488E+04   6.39532E-01   2.78750E+04   1.59084E+04
 175.75   5.93013E+04   5.21595E-01   4.95591E+04  -1.01882E+04
 176.46   1.10325E+05   7.28972E-02   1.09644E+05  -9.21856E+03
 177.17   1.43298E+05   2.02081E-01   1.40315E+05  -2.73017E+03
 177.87   2.60304E+05   5.87906E-01   2.05359E+05  -4.65475E+04
 178.58   4.54271E+05   4.93896E-01   3.81245E+05  -1.03324E+05
 179.29   5.44885E+05   6.27639E-01   4.05204E+05  -1.25504E+05
 180.00   1.86961E+06  -0.00000E+00  -1.86961E+06   0.00000E+00
